date,Consumer Price Inflation,Crude WTI,Durable Goods Orders,FED Interest Rate,Non Farm Payrolls,Retail Sales,Treasury 10year Yield,Treasury 2year Yield,Treasury 5year Yield,Unemployment Rate
1972-02-01,41.3,,,3.30,71668,,6.08,,5.69,5.7
1972-03-01,41.4,,,3.83,72261,,6.07,,5.87,5.8
1972-04-01,41.5,,,4.17,72894,,6.19,,6.17,5.7
1972-05-01,41.6,,,4.27,73525,,6.13,,5.85,5.7
1972-06-01,41.7,,,4.46,74507,,6.11,,5.91,5.7
1972-07-01,41.9,,,4.55,73502,,6.11,,5.97,5.6
1972-08-01,42.0,,,4.81,74054,,6.21,,6.02,5.6
1972-09-01,42.1,,,4.87,74612,,6.55,,6.25,5.5
1972-10-01,42.3,,,5.05,75290,,6.48,,6.18,5.6
1972-11-01,42.4,,,5.06,75704,,6.28,,6.12,5.3
1972-12-01,42.5,,,5.33,76078,,6.36,,6.16,5.2
1973-01-01,42.6,,,5.94,74613,,6.46,,6.34,4.9
1973-02-01,42.9,,,6.58,74989,,6.64,,6.60,5.0
1973-03-01,43.3,,,7.09,75544,,6.71,,6.80,4.9
1973-04-01,43.6,,,7.12,76132,,6.67,,6.67,5.0
1973-05-01,43.9,,,7.84,76712,,6.85,,6.80,4.9
1973-06-01,44.2,,,8.49,77630,,6.90,,6.69,4.9
1973-07-01,44.3,,,10.40,76691,,7.13,,7.33,4.8
1973-08-01,45.1,,,10.50,77095,,7.40,,7.63,4.8
1973-09-01,45.2,,,10.78,77682,,7.09,,7.05,4.8
1973-10-01,45.6,,,10.01,78306,,6.79,,6.77,4.6
1973-11-01,45.9,,,10.03,78707,,6.73,,6.92,4.8
1973-12-01,46.2,,,9.95,78839,,6.74,,6.80,4.9
1974-01-01,46.6,,,9.65,77045,,6.99,,6.95,5.1
1974-02-01,47.2,,,8.97,77163,,6.96,,6.82,5.2
1974-03-01,47.8,,,9.35,77485,,7.21,,7.31,5.1
1974-04-01,48.0,,,10.51,78035,,7.51,,7.92,5.1
1974-05-01,48.6,,,11.31,78637,,7.58,,8.18,5.1
1974-06-01,49.0,,,11.93,79336,,7.54,,8.10,5.4
1974-07-01,49.4,,,12.92,78438,,7.81,,8.38,5.5
1974-08-01,50.0,,,12.01,78584,,8.04,,8.63,5.5
1974-09-01,50.6,,,11.34,79084,,8.04,,8.37,5.9
1974-10-01,51.1,,,10.06,79381,,7.90,,7.97,6.0
1974-11-01,51.5,,,9.45,79060,,7.68,,7.68,6.6
1974-12-01,51.9,,,8.53,78419,,7.43,,7.31,7.2
1975-01-01,52.1,,,7.13,76189,,7.50,,7.41,8.1
1975-02-01,52.5,,,6.24,75764,,7.39,,7.11,8.1
1975-03-01,52.7,,,5.54,75808,,7.73,,7.30,8.6
1975-04-01,52.9,,,5.49,76142,,8.23,,7.99,8.8
1975-05-01,53.2,,,5.22,76774,,8.06,,7.72,9.0
1975-06-01,53.6,,,5.55,77270,,7.86,,7.51,8.8
1975-07-01,54.2,,,6.10,76592,,8.06,,7.92,8.6
1975-08-01,54.3,,,6.14,77120,,8.40,,8.33,8.4
1975-09-01,54.6,,,6.24,77726,,8.43,,8.37,8.4
1975-10-01,54.9,,,5.82,78283,,8.14,,7.97,8.4
1975-11-01,55.3,,,5.22,78437,,8.05,,7.80,8.3
1975-12-01,55.5,,,5.20,78726,,8.00,,7.76,8.2
1976-01-01,55.6,,,4.87,77376,,7.74,,7.46,7.9
1976-02-01,55.8,,,4.77,77605,,7.79,,7.45,7.7
1976-03-01,55.9,,,4.84,78214,,7.73,,7.49,7.6
1976-04-01,56.1,,,4.82,79042,,7.56,,7.25,7.7
1976-05-01,56.5,,,5.29,79534,,7.90,,7.59,7.4
1976-06-01,56.8,,,5.48,80164,,7.86,7.06,7.61,7.6
1976-07-01,57.1,,,5.31,79393,,7.83,6.85,7.49,7.8
1976-08-01,57.4,,,5.29,79659,,7.77,6.63,7.31,7.8
1976-09-01,57.6,,,5.25,80362,,7.59,6.42,7.13,7.6
1976-10-01,57.9,,,5.02,80593,,7.41,5.98,6.75,7.7
1976-11-01,58.0,,,4.95,80953,,7.29,5.81,6.52,7.8
1976-12-01,58.2,,,4.65,81129,,6.87,5.38,6.10,7.8
1977-01-01,58.5,,,4.61,79540,,7.21,5.90,6.58,7.5
1977-02-01,59.1,,,4.68,79747,,7.39,6.09,6.83,7.6
1977-03-01,59.5,,,4.69,80604,,7.46,6.09,6.93,7.4
1977-04-01,60.0,,,4.73,81539,,7.37,5.96,6.79,7.2
1977-05-01,60.3,,,5.35,82376,,7.46,6.25,6.94,7.0
1977-06-01,60.7,,,5.39,83338,,7.28,6.13,6.76,7.2
1977-07-01,61.0,,,5.42,82677,,7.33,6.27,6.84,6.9
1977-08-01,61.2,,,5.90,82971,,7.40,6.61,7.03,7.0
1977-09-01,61.4,,,6.14,83922,,7.34,6.71,7.04,6.8
1977-10-01,61.6,,,6.47,84423,,7.52,7.11,7.32,6.8
1977-11-01,61.9,,,6.51,84868,,7.58,7.14,7.34,6.8
1977-12-01,62.1,,,6.56,85105,,7.69,7.18,7.48,6.4
1978-01-01,62.5,,,6.70,83442,,7.96,7.49,7.77,6.4
1978-02-01,62.9,,,6.78,83738,,8.03,7.57,7.83,6.3
1978-03-01,63.4,,,6.79,84732,,8.04,7.58,7.86,6.3
1978-04-01,63.9,,,6.89,86037,,8.15,7.74,7.98,6.1
1978-05-01,64.5,,,7.36,86842,,8.35,8.01,8.18,6.0
1978-06-01,65.2,,,7.60,87830,,8.46,8.24,8.36,5.9
1978-07-01,65.7,,,7.81,87002,,8.64,8.49,8.54,6.2
1978-08-01,66.0,,,8.04,87305,,8.41,8.37,8.33,5.9
1978-09-01,66.5,,,8.45,87932,,8.42,8.57,8.43,6.0
1978-10-01,67.1,,,8.96,88549,,8.64,8.85,8.61,5.8
1978-11-01,67.4,,,9.76,89099,,8.81,9.42,8.84,5.9
1978-12-01,67.7,,,10.03,89408,,9.01,9.72,9.08,6.0
1979-01-01,68.3,,,10.07,87650,,9.10,9.86,9.20,5.9
1979-02-01,69.1,,,10.06,87889,,9.10,9.72,9.13,5.9
1979-03-01,69.8,,,10.09,88792,,9.12,9.79,9.20,5.8
1979-04-01,70.6,,,10.01,89313,,9.18,9.78,9.25,5.8
1979-05-01,71.5,,,10.24,90126,,9.25,9.78,9.24,5.6
1979-06-01,72.3,,,10.29,90971,,8.91,9.22,8.85,5.7
1979-07-01,73.1,,,10.47,89976,,8.95,9.14,8.90,5.7
1979-08-01,73.8,,,10.94,90072,,9.03,9.46,9.06,6.0
1979-09-01,74.6,,,11.43,90616,,9.33,10.06,9.41,5.9
1979-10-01,75.2,,,13.77,91089,,10.30,11.49,10.63,6.0
1979-11-01,75.9,,,13.18,91287,,10.65,11.81,10.93,5.9
1979-12-01,76.7,,,13.78,91415,,10.39,11.39,10.42,6.0
1980-01-01,77.8,,,13.82,89631,,10.80,11.50,10.74,6.3
1980-02-01,78.9,,,14.13,89764,,12.41,13.42,12.60,6.3
1980-03-01,80.1,,,17.19,90324,,12.75,14.88,13.47,6.3
1980-04-01,81.0,,,17.61,90747,,11.47,12.50,11.84,6.9
1980-05-01,81.8,,,10.98,90763,,10.18,9.45,9.95,7.5
1980-06-01,82.7,,,9.47,90922,,9.78,8.73,9.21,7.6
1980-07-01,82.7,,,9.03,89582,,10.25,9.03,9.53,7.8
1980-08-01,83.3,,,9.61,89865,,11.10,10.53,10.84,7.7
1980-09-01,84.0,,,10.87,90530,,11.51,11.57,11.62,7.5
1980-10-01,84.8,,,12.81,91128,,11.75,12.09,11.86,7.5
1980-11-01,85.5,,,15.85,91475,,12.68,13.51,12.83,7.5
1980-12-01,86.3,,,18.90,91661,,12.84,14.08,13.25,7.2
1981-01-01,87.0,,,19.08,89837,,12.57,13.26,12.77,7.5
1981-02-01,87.9,,,15.93,89985,,13.19,13.92,13.41,7.4
1981-03-01,88.5,,,14.70,90520,,13.12,13.57,13.41,7.4
1981-04-01,89.1,,,15.72,91157,,13.68,14.15,13.99,7.2
1981-05-01,89.8,,,18.52,91647,,14.10,15.46,14.63,7.5
1981-06-01,90.6,,,19.10,92296,,13.47,14.51,13.95,7.5
1981-07-01,91.6,,,19.04,91371,,14.28,15.35,14.79,7.2
1981-08-01,92.3,,,17.82,91378,,14.94,16.28,15.56,7.4
1981-09-01,93.2,,,15.87,91876,,15.32,16.46,15.93,7.6
1981-10-01,93.4,,,15.08,92054,,15.15,15.54,15.41,7.9
1981-11-01,93.7,,,13.31,91888,,13.39,12.88,13.38,8.3
1981-12-01,94.0,,,12.37,91555,,13.72,13.29,13.60,8.5
1982-01-01,94.3,,,13.22,89328,,14.59,14.57,14.65,8.6
1982-02-01,94.6,,,14.78,89417,,14.43,14.82,14.54,8.9
1982-03-01,94.5,,,14.68,89710,,13.86,14.19,13.98,9.0
1982-04-01,94.9,,,14.94,89993,,13.87,14.20,14.00,9.3
1982-05-01,95.8,,,14.45,90478,,13.62,13.78,13.75,9.4
1982-06-01,97.0,,,14.15,90669,,14.30,14.47,14.43,9.6
1982-07-01,97.5,,,12.59,89338,,13.95,13.80,14.07,9.8
1982-08-01,97.7,,,10.12,89212,,13.06,12.32,13.00,9.8
1982-09-01,97.9,,,10.31,89628,,12.34,11.78,12.25,10.1
1982-10-01,98.2,,,9.71,89598,,10.91,10.19,10.80,10.4
1982-11-01,98.0,,,9.20,89495,,10.55,9.80,10.38,10.8
1982-12-01,97.6,,,8.95,89396,,10.54,9.66,10.22,10.8
1983-01-01,97.8,,,8.68,87729,,10.46,9.33,10.03,10.4
1983-02-01,97.9,,,8.51,87741,,10.72,9.64,10.26,10.4
1983-03-01,97.9,,,8.77,88344,,10.51,9.66,10.08,10.3
1983-04-01,98.6,,,8.80,89187,,10.40,9.57,10.02,10.2
1983-05-01,99.2,,,8.63,90019,,10.38,9.49,10.03,10.1
1983-06-01,99.5,,,8.98,90844,,10.85,10.18,10.63,10.1
1983-07-01,99.9,,,9.37,90271,,11.38,10.69,11.21,9.4
1983-08-01,100.2,,,9.56,89998,,11.85,11.07,11.63,9.5
1983-09-01,100.7,,,9.45,91719,,11.65,10.79,11.43,9.2
1983-10-01,101.0,,,9.48,92233,,11.54,10.57,11.28,8.8
1983-11-01,101.2,,,9.34,92592,,11.69,10.66,11.41,8.5
1983-12-01,101.3,,,9.47,92863,,11.83,10.84,11.54,8.3
1984-01-01,101.9,,,9.56,91374,,11.67,10.64,11.37,8.0
1984-02-01,102.4,,,9.59,91940,,11.84,10.79,11.54,7.8
1984-03-01,102.6,,,9.91,92659,,12.32,11.31,12.02,7.8
1984-04-01,103.1,,,10.29,93614,,12.63,11.69,12.37,7.7
1984-05-01,103.4,,,10.32,94489,,13.41,12.47,13.17,7.4
1984-06-01,103.7,,,11.06,95305,,13.56,12.91,13.48,7.2
1984-07-01,104.1,,,11.23,94607,,13.36,12.88,13.27,7.5
1984-08-01,104.5,,,11.64,94888,,12.72,12.43,12.68,7.5
1984-09-01,105.0,,,11.30,95808,,12.52,12.20,12.53,7.3
1984-10-01,105.3,,,9.99,96362,,12.16,11.60,12.06,7.4
1984-11-01,105.3,,,9.43,96738,,11.57,10.65,11.33,7.2
1984-12-01,105.3,,,8.38,96793,,11.50,10.18,11.07,7.3
1985-01-01,105.5,,,8.35,95049,,11.38,9.93,10.93,7.3
1985-02-01,106.0,,,8.50,95259,,11.51,10.17,11.13,7.2
1985-03-01,106.4,,,8.58,96055,,11.86,10.71,11.52,7.2
1985-04-01,106.9,,,8.27,96875,,11.43,10.09,11.01,7.3
1985-05-01,107.3,,,7.97,97726,,10.85,9.39,10.34,7.2
1985-06-01,107.6,,,7.53,98279,,10.16,8.69,9.60,7.4
1985-07-01,107.8,,,7.88,97418,,10.31,8.77,9.70,7.4
1985-08-01,108.0,,,7.90,97667,,10.33,8.94,9.81,7.1
1985-09-01,108.3,,,7.92,98476,,10.37,8.98,9.81,7.1
1985-10-01,108.7,,,7.99,98987,,10.24,8.86,9.69,7.1
1985-11-01,109.0,,,8.05,99240,,9.78,8.58,9.28,7.0
1985-12-01,109.3,,,8.27,99356,,9.26,8.15,8.73,7.0
1986-01-01,109.6,22.93,,8.14,97397,,9.19,8.14,8.68,6.7
1986-02-01,109.3,15.46,,7.86,97590,,8.70,7.97,8.34,7.2
1986-03-01,108.8,12.61,,7.48,98138,,7.78,7.21,7.46,7.2
1986-04-01,108.6,12.84,,6.99,98973,,7.30,6.70,7.05,7.1
1986-05-01,108.9,15.38,,6.85,99667,,7.71,7.07,7.52,7.2
1986-06-01,109.5,13.43,,6.92,99973,,7.80,7.18,7.64,7.2
1986-07-01,109.5,11.59,,6.56,99219,,7.30,6.67,7.06,7.0
1986-08-01,109.7,15.10,,6.17,99393,,7.17,6.33,6.80,6.9
1986-09-01,110.2,14.87,,5.89,100317,,7.45,6.35,6.92,7.0
1986-10-01,110.3,14.90,,5.85,100886,,7.43,6.28,6.83,7.0
1986-11-01,110.4,15.22,,6.04,101141,,7.25,6.28,6.76,6.9
1986-12-01,110.5,16.11,,6.91,101300,,7.11,6.27,6.67,6.6
1987-01-01,111.2,18.65,,6.43,99334,,7.08,6.23,6.64,6.6
1987-02-01,111.6,17.75,,6.10,99657,,7.25,6.40,6.79,6.6
1987-03-01,112.1,18.30,,6.13,100367,,7.25,6.42,6.79,6.6
1987-04-01,112.7,18.68,,6.37,101369,,8.02,7.02,7.57,6.3
1987-05-01,113.1,19.44,,6.85,102135,,8.61,7.76,8.26,6.3
1987-06-01,113.5,20.07,,6.73,102742,,8.40,7.57,8.02,6.2
1987-07-01,113.8,21.34,,6.58,101990,,8.45,7.44,8.01,6.1
1987-08-01,114.4,20.31,,6.73,102219,,8.76,7.75,8.32,6.0
1987-09-01,115.0,19.53,,7.22,102986,,9.42,8.34,8.94,5.9
1987-10-01,115.3,19.86,,7.29,103893,,9.52,8.40,9.08,6.0
1987-11-01,115.4,18.85,,6.69,104232,,8.86,7.69,8.35,5.8
1987-12-01,115.4,17.28,,6.77,104472,,8.99,7.86,8.45,5.7
1988-01-01,115.7,17.13,,6.83,102380,,8.67,7.63,8.18,5.7
1988-02-01,116.0,16.80,,6.58,102951,,8.21,7.18,7.71,5.7
1988-03-01,116.5,16.20,,6.58,103693,,8.37,7.27,7.83,5.7
1988-04-01,117.1,17.86,,6.87,104587,,8.72,7.59,8.19,5.4
1988-05-01,117.5,17.42,,7.09,105347,,9.09,8.00,8.58,5.6
1988-06-01,118.0,16.53,,7.51,106208,,8.92,8.03,8.49,5.4
1988-07-01,118.5,15.50,,7.75,105315,,9.06,8.28,8.66,5.4
1988-08-01,119.0,15.52,,8.01,105477,,9.26,8.63,8.94,5.6
1988-09-01,119.8,14.54,,8.19,106341,,8.98,8.46,8.69,5.4
1988-10-01,120.2,13.77,,8.30,107013,,8.80,8.35,8.51,5.4
1988-11-01,120.3,14.14,,8.35,107500,,8.96,8.67,8.79,5.3
1988-12-01,120.5,16.38,,8.76,107722,,9.11,9.09,9.09,5.3
1989-01-01,121.1,18.02,,9.12,105743,,9.09,9.18,9.15,5.4
1989-02-01,121.6,17.94,,9.36,106170,,9.17,9.37,9.27,5.2
1989-03-01,122.3,19.48,,9.85,106813,,9.36,9.68,9.51,5.0
1989-04-01,123.1,21.07,,9.84,107611,,9.18,9.45,9.30,5.2
1989-05-01,123.8,20.12,,9.81,108294,,8.86,9.02,8.91,5.2
1989-06-01,124.1,20.05,,9.53,108937,,8.28,8.41,8.29,5.3
1989-07-01,124.4,19.78,,9.24,107848,,8.02,7.82,7.83,5.2
1989-08-01,124.6,18.58,,8.99,107927,,8.11,8.14,8.09,5.2
1989-09-01,125.0,19.59,,9.02,108724,,8.19,8.28,8.17,5.3
1989-10-01,125.6,20.10,,8.84,109217,,8.01,7.98,7.97,5.3
1989-11-01,125.9,19.86,,8.55,109657,,7.87,7.80,7.81,5.4
1989-12-01,126.1,21.10,,8.45,109666,,7.84,7.78,7.75,5.4
1990-01-01,127.4,22.86,,8.23,107573,,8.21,8.09,8.12,5.4
1990-02-01,128.0,22.11,,8.24,108069,,8.47,8.37,8.42,5.3
1990-03-01,128.7,20.39,,8.28,108724,,8.59,8.63,8.60,5.2
1990-04-01,128.9,18.43,,8.26,109366,,8.79,8.72,8.77,5.4
1990-05-01,129.2,18.20,,8.18,110271,,8.76,8.64,8.74,5.4
1990-06-01,129.9,16.70,,8.29,110838,,8.48,8.35,8.43,5.2
1990-07-01,130.4,18.45,,8.15,109567,,8.47,8.16,8.33,5.5
1990-08-01,131.6,27.31,,8.13,109449,,8.75,8.06,8.44,5.7
1990-09-01,132.7,33.51,,8.20,110044,,8.89,8.08,8.51,5.9
1990-10-01,133.5,36.04,,8.11,110240,,8.72,7.88,8.33,5.9
1990-11-01,133.8,32.33,,7.81,110205,,8.39,7.60,8.02,6.2
1990-12-01,133.8,27.28,,7.31,109974,,8.08,7.31,7.73,6.3
1991-01-01,134.6,25.23,,6.91,107425,,8.09,7.13,7.70,6.4
1991-02-01,134.8,20.48,,6.25,107392,,7.85,6.87,7.47,6.6
1991-03-01,135.0,19.90,,6.12,107681,,8.11,7.10,7.77,6.8
1991-04-01,135.2,20.83,,5.91,108071,,8.04,6.95,7.70,6.7
1991-05-01,135.6,21.23,,5.78,108752,,8.07,6.78,7.70,6.9
1991-06-01,136.0,20.19,,5.90,109234,,8.28,6.96,7.94,6.9
1991-07-01,136.2,21.40,,5.82,108033,,8.27,6.92,7.91,6.8
1991-08-01,136.6,21.69,,5.66,108123,,7.90,6.43,7.43,6.9
1991-09-01,137.2,21.89,,5.45,108840,,7.65,6.18,7.14,6.9
1991-10-01,137.4,23.23,,5.21,109210,,7.53,5.91,6.87,7.0
1991-11-01,137.8,22.46,,4.81,109226,,7.42,5.56,6.62,7.0
1991-12-01,137.9,19.50,,4.43,109110,,7.09,5.03,6.19,7.3
1992-01-01,138.1,18.79,,4.03,106723,130683,7.03,4.96,6.24,7.3
1992-02-01,138.6,19.01,118429,4.06,106977,131244,7.34,5.21,6.58,7.4
1992-03-01,139.3,18.92,129309,3.98,107494,142488,7.54,5.69,6.95,7.4
1992-04-01,139.5,20.23,123268,3.73,108331,147175,7.48,5.34,6.78,7.4
1992-05-01,139.7,20.98,122274,3.82,109137,152420,7.39,5.23,6.69,7.6
1992-06-01,140.2,22.39,131268,3.76,109626,151849,7.26,5.05,6.48,7.8
1992-07-01,140.5,21.78,103025,3.25,108608,152586,6.84,4.36,5.84,7.7
1992-08-01,140.9,21.34,113623,3.30,108664,152476,6.59,4.19,5.60,7.6
1992-09-01,141.3,21.88,126277,3.22,109449,148158,6.42,3.89,5.38,7.6
1992-10-01,141.8,21.69,131334,3.10,110036,155987,6.59,4.08,5.60,7.3
1992-11-01,142.0,20.34,121759,3.09,110275,154824,6.87,4.58,6.04,7.4
1992-12-01,141.9,19.41,131937,2.92,110265,191347,6.77,4.67,6.08,7.4
1993-01-01,142.6,19.03,115794,3.02,108098,137020,6.60,4.39,5.83,7.3
1993-02-01,143.1,20.09,130164,3.03,108701,134462,6.26,4.10,5.43,7.1
1993-03-01,143.6,20.32,138668,3.07,109136,153025,5.98,3.95,5.19,7.0
1993-04-01,144.0,20.25,126589,2.96,110140,158615,5.97,3.84,5.13,7.1
1993-05-01,144.2,19.95,123210,3.00,111103,163519,6.04,3.98,5.20,7.1
1993-06-01,144.4,19.09,138459,3.04,111693,162964,5.96,4.16,5.22,7.0
1993-07-01,144.4,17.89,107698,3.06,110825,164590,5.81,4.07,5.09,6.9
1993-08-01,144.8,18.01,124150,3.03,110935,163989,5.68,4.00,5.03,6.8
