,optionSymbol,expiration,side,strike,bid,ask,last,openInterest,volume,ticker,sector,logo
37,MSFT231215C00340000,1702674000,call,340.0,37.3,39.95,38.09,6488,9,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
38,MSFT231215C00342500,1702674000,call,342.5,35.05,38.05,35.58,3,2,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
39,MSFT231215C00345000,1702674000,call,345.0,32.4,35.65,33.15,6718,4,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
40,MSFT231215C00347500,1702674000,call,347.5,30.45,32.55,30.85,7,7,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
41,MSFT231215C00350000,1702674000,call,350.0,28.95,29.35,29.0,17367,162,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
42,MSFT231215C00352500,1702674000,call,352.5,24.8,28.0,25.86,4,35,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
43,MSFT231215C00355000,1702674000,call,355.0,23.9,24.65,23.75,7163,26,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
44,MSFT231215C00357500,1702674000,call,357.5,20.5,22.4,20.76,14,1,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
45,MSFT231215C00360000,1702674000,call,360.0,18.6,20.15,20.0,10196,103,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
46,MSFT231215C00362500,1702674000,call,362.5,17.35,18.1,16.62,96,3,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
47,MSFT231215C00365000,1702674000,call,365.0,15.25,15.8,15.75,17217,64,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
48,MSFT231215C00367500,1702674000,call,367.5,12.65,13.9,13.16,138,9,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
49,MSFT231215C00370000,1702674000,call,370.0,11.8,11.95,11.95,13980,572,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
50,MSFT231215C00372500,1702674000,call,372.5,10.05,10.2,10.0,881,324,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
